stamp,fr_tire_temp_04,fr_tire_temp_03,fr_tire_temp_02,fr_tire_temp_01
"builtin_interfaces.msg.Time(sec=1751477641, nanosec=750268301)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477641, nanosec=750268301)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477641, nanosec=750268301)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477641, nanosec=750268301)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477641, nanosec=750268301)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477642, nanosec=748902246)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477642, nanosec=748902246)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477642, nanosec=748902246)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477642, nanosec=748902246)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477642, nanosec=748902246)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477643, nanosec=748802349)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477643, nanosec=748802349)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477643, nanosec=748802349)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477643, nanosec=748802349)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477643, nanosec=748802349)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477644, nanosec=749251834)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477644, nanosec=749251834)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477644, nanosec=749251834)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477644, nanosec=749251834)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477644, nanosec=749251834)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477645, nanosec=748888949)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477645, nanosec=748888949)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477645, nanosec=748888949)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477645, nanosec=748888949)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477645, nanosec=748888949)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477646, nanosec=748834275)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477646, nanosec=748834275)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477646, nanosec=748834275)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477647, nanosec=748897716)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477647, nanosec=748897716)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477647, nanosec=748897716)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477647, nanosec=748897716)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477647, nanosec=748897716)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477648, nanosec=749746361)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477648, nanosec=749746361)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477648, nanosec=749746361)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477648, nanosec=749746361)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477648, nanosec=749746361)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477649, nanosec=750485530)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477649, nanosec=750485530)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477649, nanosec=750485530)",-100.0,-100.0,-100.0,-100.0
