stamp,fl_tire_temp_04,fl_tire_temp_03,fl_tire_temp_02,fl_tire_temp_01
"builtin_interfaces.msg.Time(sec=1751477640, nanosec=747875369)",25.80000000000001,24.10000000000001,24.80000000000001,25.60000000000001
"builtin_interfaces.msg.Time(sec=1751477640, nanosec=747875369)",25.80000000000001,24.10000000000001,24.80000000000001,25.60000000000001
"builtin_interfaces.msg.Time(sec=1751477640, nanosec=747875369)",25.80000000000001,24.10000000000001,24.80000000000001,25.60000000000001
"builtin_interfaces.msg.Time(sec=1751477641, nanosec=747784508)",24.60000000000001,24.60000000000001,24.5,24.60000000000001
"builtin_interfaces.msg.Time(sec=1751477641, nanosec=747784508)",24.60000000000001,24.60000000000001,24.5,24.60000000000001
"builtin_interfaces.msg.Time(sec=1751477641, nanosec=747784508)",24.60000000000001,24.60000000000001,24.5,24.60000000000001
"builtin_interfaces.msg.Time(sec=1751477641, nanosec=747784508)",24.60000000000001,24.60000000000001,24.5,24.60000000000001
"builtin_interfaces.msg.Time(sec=1751477641, nanosec=747784508)",24.60000000000001,24.60000000000001,24.5,24.60000000000001
"builtin_interfaces.msg.Time(sec=1751477642, nanosec=748385451)",24.60000000000001,24.60000000000001,24.5,24.60000000000001
"builtin_interfaces.msg.Time(sec=1751477642, nanosec=748385451)",24.60000000000001,24.60000000000001,24.5,24.60000000000001
"builtin_interfaces.msg.Time(sec=1751477642, nanosec=748385451)",24.60000000000001,24.60000000000001,24.5,24.60000000000001
"builtin_interfaces.msg.Time(sec=1751477642, nanosec=748385451)",24.60000000000001,24.60000000000001,24.5,24.60000000000001
"builtin_interfaces.msg.Time(sec=1751477642, nanosec=748385451)",24.60000000000001,24.60000000000001,24.5,24.60000000000001
"builtin_interfaces.msg.Time(sec=1751477643, nanosec=747871030)",24.900000000000006,24.200000000000003,24.5,23.5
"builtin_interfaces.msg.Time(sec=1751477643, nanosec=747871030)",24.900000000000006,24.200000000000003,24.5,23.5
"builtin_interfaces.msg.Time(sec=1751477643, nanosec=747871030)",24.900000000000006,24.200000000000003,24.5,23.5
"builtin_interfaces.msg.Time(sec=1751477643, nanosec=747871030)",24.900000000000006,24.200000000000003,24.5,23.5
"builtin_interfaces.msg.Time(sec=1751477643, nanosec=747871030)",24.900000000000006,24.200000000000003,24.5,23.5
